Manufacturer,Year,Model,Hand,Km,Gear,Capacity_Engine,Engine_Type,Color,Test,Prev_ownership,Curr_Ownership,Area,City,Price,Cre_date,Repub_date,Pic_Num,Page_num,Description
קיה,2019,ספיה,2,95000,אוטומטית,1600,דיזל,אפור עכבר,51,ליסינג,פרטית,עכו - נהריה,נהריה,86000.0,2024-05-01,2024-05-17,5,1.0,"קיה ספורטאז טורבו דיזל, חסכונית בדלק, שמורה, מטופלת , נקייה מתאונות יד שנייה קילומטראז נמוך.
טסט עד אוגוסט
נא לא להתקשא בשבת"
קיה,2020,סטוניק,3,50000,אוטומטית,1600,בנזין,לבן,204,פרטית,פרטית,עמק יזרעאל,מגדל העמק,96000.0,2024-05-06,2024-05-06,1,1.0,רכב חדששששש
קיה,2017,פיקנטו,2,160000,אוטומטית,1200,בנזין,כסוף,82,פרטית,פרטית,אשדוד - אשקלון,אשקלון,50000.0,2024-04-15,2024-04-15,5,1.0,"רכב שמור ביותר , יד שניה , 160,000 קילומטראז׳ 
גמישות במחיר לרציניים"
קיה,2020,פיקנטו,2,34000,אוטומטית,1300,בנזין,לבן שנהב,173,אחר,פרטית,רמלה - לוד,רמלה,64000.0,2024-05-11,2024-05-11,10,1.0,"למכירה קיה פקנטו 2020

קיה פקנטו 2020
6/12/2020 עליה לכביש 
נפח מנוע 1249 סמ״ק 
34000 ק״מ סה״כ 
צבע לבן שנהב 
גיר פלנטרי אוטומט מלא !!!
( לא רובוטי ) 
טפולים !
טיפול ראשון 
בקיה מרכזי באר יעקוב 
שתי טיפולים במוסף מורשה 
הוחלף בטיפול אחרון 
 דסקיות קידמה 
החלפת מצבר 
עם אחריות ל 20 חודש 
מולטימדיה/ מצלמה אחורית
חיישני רוורס 
בלימה אוטונומי / מובילי 
רכב שמור / מעט ק""מ 

64000 ש״ח גמיש"
קיה,2018,פיקנטו,2,91000,אוטומטית,1200,בנזין,כסוף,,פרטית,פרטית,חיפה וחוף הכרמל,עתלית,57000.0,2024-03-19,2024-03-19,5,1.0,קיה פיקנטו כסופה שנת 2018 צורה החדשה רכב שמור ומטופל בקיה בלבד . חנה אך ורק בצל
קיה,2017,פיקנטו,3,122000,ידנית,1000,בנזין,שחור,,פרטית,פרטית,ראש העין והסביבה,ראש העין,29000.0,2024-01-02,2024-02-27,6,1.0,"קיה פיקנטו שנת 2017.

ידני, שמורה בחנייה מקורה.

מערכת תצוגה מתקדמת וחדישה. מצלמת רוורס חדשה. 

רכב נוח, חסכוני ושמור. 

צבע שחור. ללא תאונות ללא פגעים."
קיה,2017,פיקנטו,3,124000,ידנית,1000,בנזין,שחור,,פרטית,פרטית,ראש העין והסביבה,ראש העין,29000.0,2024-01-17,2024-01-17,8,1.0,"רכב שמור בחנייה מקורה. 
מטופל, נהג יחיד. 

מערכת מולטימדיה חדישה וגדולה ורמקולים. 
מערכת בקרה קדמית ואחורית. 

ללא תאונות."
קיה,2017,נירו EV,2,106000,אוטומטית,1600,היבריד,שחור,,פרטית,פרטית,ירושלים והסביבה,מעלה אדומים,85000.0,2023-12-26,2023-12-26,8,1.0,"דגם EX המפואר, רכב שמור ומטופל בזמן!!! נהגת יחידה. צמיגים חדשים, קיימת אחריות למצבר היברידי. רכב חסכוני בטירוף!! גדול ומרווח!"
קיה,2018,נירו PHEV,2,110000,אוטומטית,1600,היבריד,חום מטאלי,,פרטית,פרטית,ירושלים והסביבה,ירושלים,85000.0,2023-12-25,2023-12-25,2,1.0,"רכב שמור מאוד
דגם EX 
חסכוני בדלק"
קיה,2018,סיד,2,205000,אוטומטית,1600,דיזל,אפור מטאלי,,פרטית,פרטית,חדרה וישובי עמק חפר,חדרה,42000.0,2023-11-25,2023-11-25,5,1.0,רכב במצב מעולה ושמור
קיה,2017,פיקנטו,2,68000,אוטומטית,1200,בנזין,שחור,143,פרטית,פרטית,חיפה וחוף הכרמל,חיפה,61500.0,2023-11-23,2023-11-23,2,1.0,"עלתה לכביש בסוף 2017
יד 01 פרטית נקנתה מסוכנות מורשה של קיה
68,000 קמ בלבד!
של הבת זוג שלי עובדת מהבית ורוב הזמן חונה בחניה מקורה בקושי נוסעת, מטופלת רק במוסך מורשה!
טסט ארוך לנובמבר 24"
קיה,2018,פיקנטו,2,65000,אוטומטית,1000,בנזין,לבן,,ליסינג,פרטית,אשדוד - אשקלון,קרית מלאכי,45000.0,2023-11-08,2023-11-08,5,1.0,"רכב שמור מאוד 
חסכוני 
אחרי טיפול 10000
אצלי כ-4 שנים 
הכל מקורי ברכב"
קיה,2018,סטוניק,2,100000,אוטומטית,1000,בנזין,אפור,51,פרטית,פרטית,ירושלים והסביבה,מבשרת ציון,73000.0,2023-10-04,2023-10-04,6,1.0,"קיה סטוניק דגם Premium אוט' טורבו 1.0 (120 כ''ס).
יד 2 פרטי, שנת 2018 , ק״מ 100,000
נהגת יחידה,ללא תאונות,שתי צבעים מבפנים ומבחוץ, כיסאות בשילוב עור, ג׳אנט 17 אינטש , רכב שמור ביותר,הגה ספורט, חסכוני בדלק, כניסה והנעה לרכב ללא מפתח, כולל מערכת של שמירה על הנתיב + בלימה אוטומטית, Apple CarPlay+ Android Auto. 
מטופל במוסך מורשה בלבד! 
אחרי טיפול וטסט כמעט לשנה.
נמכר עקב שדרוג. 
מחיר- 73,000
גמיש מעט לרציניים"
קיה,2017,נירו EV,2,130000,אוטומטית,1500,היבריד,אפור מטאלי,,חברה,פרטית,רמת גן - גבעתיים,בני ברק,80000.0,2023-08-31,2023-08-31,5,1.0,רכב חסכוני בטירוף שמור לא עבר שום תקלות חוץ מסריטה בדלתות
קיה,2017,פיקנטו,1,118000,אוטומטית,1200,בנזין,אפור מטאלי,,פרטית,פרטית,"ראשל""צ והסביבה",ראשון לציון,56000.0,2023-08-16,2023-08-16,6,1.0,"רכב יד ראשונה מפרטי
טסט בתוקף עד 5/24
הרכב טופל אך ורק במוסך מורשה
מערכות מובילאיי וCarPlay מובנות
הותקנו ברכב:
* 4 מגני רוח בחלונות
* 4 צמיגי קונטיננטל איכותיים
* מערכת סטריאו איכותית - הוחלפו 2 רמקולים קדמיים + 2 טוויטרים + מגבר + סאב (ניתן לקבל גם את סט הרמקולים הקדמיים המקוריים)"
קיה,2018,פורטה,2,86000,אוטומטית,1600,בנזין,לבן,,ליסינג,פרטית,עכו - נהריה,נהריה,62000.0,2023-07-31,2023-08-10,3,1.0,רכב מטופל ושמור לא בשבת
קיה,2021,פיקנטו,1,42000,אוטומטית,1200,בנזין,לבן,,פרטית,פרטית,נס ציונה - רחובות,רחובות,69000.0,2023-08-08,2023-08-08,5,1.0,"קיה פיקנטו 202‪1 
LX אוטומט 1.2 (84 כ""ס) 
420‪00 ק""מ 
טסט עד מרץ 202‪4

נהגת יחידה,רכב שמור ללא שום פגם מבפנים ומבחוץ, התחייבות לבדיקה על כל הרכב, 
מטופל בזמן במוסך מורשה יש תיעוד להכל.
הרכב עדיין באחריות חברה.
נקנה מליסינג 0 קילומטר לא היה בחברת השכרה (יש תיעוד)."
קיה,2019,פיקנטו,2,54000,אוטומטית,1200,בנזין,לבן,,פרטית,פרטית,גליל ועמקים,קרית שמונה,68000.0,2023-07-04,2023-07-04,5,1.0,"רכב שמור מאד כמעט לא נסע 54,000 קמ""ש"
קיה,2021,פיקנטו,1,24000,אוטומטית,1200,בנזין,שחור,,פרטית,פרטית,עמק יזרעאל,עפולה,78000.0,2023-06-19,2023-06-19,1,1.0,"קיה פיקנטו שנת 2021
שמורה כמו חדשה התמונות מדברות בעד עצמן
24,000 ק״מ
יד ראשונה 00 פרטית
מטופלת רק בחברה 
מציאה!🔥
לפרטים נתי- 050-5565534"
קיה,2018,נירו EV,1,60000,אוטומטית,1600,בנזין,אפור מטאלי,,פרטית,פרטית,גליל ועמקים,יוקנעם עילית,103000.0,2023-06-18,2023-06-18,2,1.0,קיה נירו היבריד EX מודל 2018 יד ראשונה מחיר 103000 שח.
קיה,2019,XCEED,1,128000,אוטומטית,1400,בנזין,לבן,,פרטית,פרטית,חולון - בת ים,בת ים,59000.0,2023-08-28,2024-03-11,1,1.0,שמורה היטב ללא תאונות
קיה,2017,נירו,2,149000,אוטומטית,1600,היבריד,אפור מטאלי,,ליסינג,פרטית,ירושלים והסביבה,קרית יערים,76000.0,2023-06-06,2023-06-06,2,1.0,"קיה נירו היברידית שמורה מאד. חסכונית מאד בדלק! (לפי נתוני מחשב הרכב צורכת 20\1) חונה רק בחניון מקורה. רכב אמין ומרווח גם מאחור. תא מטען מאד מרווח עם אפשרות לקיפול המושבים האחוריים. נוח מאד גם לנסיעות ארוכות- כולל בקרת שיוט אדפטיבית, ובקרת סטייה מנתיב. וכולל אמצעי זהירות טכנולוגים מתקדמים. קנינו אותו מליסינג אבל ביררנו שמדובר היה בנהג יחיד ששמר בקנאות על הרכב. נפרדים ממנו עקב מעבר לרכב 7 מקומות."
קיה,2020,סטוניק,1,23170,אוטומטית,1000,בנזין,אפור,,פרטית,פרטית,גליל ועמקים,נצרת עילית,99000.0,2023-04-18,2023-05-23,4,1.0,"קיה סטוניק 2020💯
 Premium EX אוט' טורבו 1.0 (120 כ''ס)
✅יד 00 מפרטי 
✅ק״מ 23,170 
✅רכב חיסכוני מאוד 
✅רכב שמור מאוד !
✅טיפולים בזמן 
✅טסט לשנה 
מחיר מחירון 
לחייג לנייד הזה ‭052-2935592‬ לא עונה בפרטי"
קיה,2019,פיקנטו,1,60000,אוטומטית,1200,בנזין,לבן,,אחר,פרטית,חיפה וחוף הכרמל,חיפה,64000.0,2023-05-18,2023-05-18,3,1.0,"פיקנטו 2019 
00 קמ מאלבר - יד ראשונה ויחידה פרטית 
מחירון 64800 גמיש במחיר
מצבר חדש 
צמיגים חדשים 
מתחייב גיר שלדה הכל"
קיה,2019,סטוניק,2,45000,אוטומטית,1000,בנזין,כסף מטלי,,פרטית,פרטית,גליל ועמקים,אילון,90000.0,2023-05-08,2023-05-08,4,1.0,"רכב חדש ושמור בקפידה
ללא תאונות מתחייב בבדיקה
אמין מאוד וחסכוני
נהג יחד!!!!
למי שמחפש מוכר אמין ושקט בקניה"
קיה,2018,פיקנטו,1,55000,אוטומטית,1200,בנזין,כסוף מטאלי,,חברה,פרטית,בקעת אונו,יהוד מונוסון,70000.0,2023-05-04,2023-05-04,5,1.0,"קיה פיקנטו 2018 EX 
אוטו שמור בצורה הכי גבוהה שיש! 
חלונות מושחרים , מגן רוח. 55,000 קמ!!!
בואו לראות את האמת בעיניים!!
מחיר מחירון.
קצינה שמקבלת רכב חדש מהצבא לכן מוכרת🤗"
קיה,2019,פיקנטו,1,61000,אוטומטית,1200,בנזין,שחור,,פרטית,פרטית,רעננה - כפר סבא,רעננה,72000.0,2023-04-18,2023-04-29,6,1.0,"קיה פיקנטו GT-Line סדרה מפוארת כמו חדש מהחברה 🚙🆕
שנת 2019 יד 1 פרטי ✔️
 ✔️ 61k בלבד
נהג יחיד שמור מטופל ✔️
מנוע 1.2 זריזה וחסכונית בדלק ✔️
נקי מתאונות נקי מפגיעות ✔️
יש תוספות שוות, מתחייב בבדיקה✔️
מפרסם בשביל חבר. 
גמיש לרציניים בלבד 🙌
לפרטים נוספים בפרט"
קיה,2022,פיקנטו,1,17000,אוטומטית,1200,בנזין,לבן,,פרטית,פרטית,רעננה - כפר סבא,כפר סבא,82000.0,2023-03-29,2023-03-29,2,1.0,"פיקנטו החדשה מרץ 2022. טסט לשנה, טיפול שנתי במוסך מורשה. יש עדיין ניילונים, אחריות יבואן. נהג יחיד. רכב שמור ומעולה, נמכר עקב מעבר לרכב גדול יותר לצורכי המשפחה."
קיה,2017,פיקנטו,2,50000,אוטומטית,1000,בנזין,אפור,,פרטית,פרטית,מושבים בשפלה,קדרון,53000.0,2023-03-19,2023-03-19,7,1.0,"למכירה 
קיה פיקנטו ex הצורה החדשה מנוע 1000
עליה לכביש 09/2017
יד 02 פרטי 
50,000 קמ 
ללא תאונות (נהג יחיד)
טסט לחצי שנה.
הרכב מטופל בזמן כל 10,000 בוצע טיפול עכשיו. 
מצבר חדש של שנפ עם אחריות לשלוש שנים. 
דורש מחירון לוי יצחק 53,000
לפרטים: 0542266307"
קיה,2018,נירו,1,88100,אוטומטית,1600,היבריד,לבן פנינה,204,פרטית,פרטית,רמת גן - גבעתיים,גבעתיים,92000.0,2024-03-04,2024-03-04,0,1.0,"קיה נירו היברידי.
שנת ייצור 2018 יד ראשונה. 
טסט עד ינואר 2025.
רכב לאחר טיפול שנתי.
ארבעה צמיגים חדשים.
אחריות לסוללה עד ינואר 2025.
רכב במצב טוב מאוד."
קיה,2021,פיקנטו,1,45000,אוטומטית,1200,בנזין,שחור,,אחר,פרטית,חיפה וחוף הכרמל,חיפה,79000.0,2023-02-02,2023-02-04,8,1.0,"רכב שמור מאוד, מטופל רק במוסך מורשה של קיה. 
עם חלון גג ניפתח! חיסכוני מאוד! 
יש אחריות. ללא תאונות. גמישה במחיר."
קיה,2017,פיקנטו,3,90100,אוטומטית,1200,בנזין,לבן,,פרטית,פרטית,גליל ועמקים,יוקנעם עילית,59000.0,2022-08-09,2022-12-21,3,1.0,"רכב שמור מטופל אך ורק במורשה,הוחלפו שני צמיגים קדמיים,עבר טסט וטיפול."
קיה,2020,XCEED,2,29000,אוטומטית,1400,בנזין,לבן,,פרטית,פרטית,קריות,קרית ים,104000.0,2022-12-08,2022-12-08,1,1.0,"רכב נרכש מליסינג ב 0 ק""ם (חדשה)"
קיה,2021,אופטימה / Optima,1,35000,אוטומטית,1600,בנזין,לבן פנינה,,פרטית,פרטית,חיפה וחוף הכרמל,טירת כרמל,135000.0,2022-11-09,2022-11-09,3,1.0,"קיה ספורטאז' דגם טורבו טופ מנוע 1600 טורבו
רכב שמור ביותר מתחייב מנוע גיר שילדה!!"
קיה,2019,פיקנטו,2,77000,אוטומטית,55,בנזין,,,,,חולון - בת ים,חולון,62000.0,2022-11-02,2022-11-02,1,1.0,מצב מכני מעולה! רכב שמור ללא תאונות.נמכר עקב מעבר לרכב משפחתי
קיה,2017,פיקנטו,2,60000,אוטומטית,1200,בנזין,,,,,תל אביב,תל אביב יפו,54000.0,2022-11-02,2022-11-02,1,1.0,"רכב במצב מעולה.
מטופל ונקי.
צורה חדשה.
בלימה אוטונומית. מוביליי. 7 כריות אויר.
קילומראז' נמוך.
טסט לשנה
ליסינג במקור &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; דיבורית BT
שנה נוספת אחריות"
קיה,2022,נירו EV,1,2100,אוטומטית,204,חשמלי,,,,,,יקנעם עילית,189000.0,2022-10-29,2022-10-29,1,1.0,"רעה נירו פלוס חדשה &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מצלמת דרך
איתורן"
קיה,2021,פיקנטו,2,16000,אוטומטית,1250,בנזין,,,,,קריות,רכסים,83000.0,2022-10-27,2022-10-27,1,1.0,רכב במצב חדש עם כול התוספות מתחייב בבדיקה &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; כול התוספות כולל מצלמת דרך
קיה,2019,פיקנטו,1,80000,אוטומטית,1248,בנזין,,,,,,עיילבון,70000.0,2022-10-26,2022-10-26,1,1.0,"רכב מעולה, 0 תקלות , נהגת אחת
חסכוני ביותר
טסט עד 8/23 &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; פול תוספות מהחברה, גג נפתח, מערכת שמירת מרחק וסטייה מהנתיב מובנאת, מערכת מולטימדיה מצוינת"
קיה,2021,פיקנטו,1,8000,רובוטית,1200,בנזין,,,,,אשדוד - אשקלון,אשדוד,75000.0,2022-10-20,2022-10-20,1,1.0,"למכירה קיה פיקנטו החדשה דגם LX 
שנת 2021 פרטית נהגת יחידה 
מנוע 1200 
יד 01 חדשה מהחברה שמורה בקנאות 
נקנתה לפני כפחות משנה
עשתה רק 8,000 קילומטר בלבד!! (הרבה פחות מהממוצע השנתי) 
?רכב אמין וחסכוני בדלק 
?מסך מולטימדיה כולל אפל קרפליי 
?חיישנים ומצלמת רוורס 
?מערכת בלימה אוטומטית 
?בקרת שליטה מההגה + קרוז קונטרול 
?בקרת סטייה מנתיב 
?בקרת תינוק ברכב 
?מתחייבת בבדיקה
לפרטים נוספים 0508563461 הודיה"
קיה,2022,פיקנטו,2,90000,אוטומטית,1197,בנזין,,,,,קריות,קרית מוצקין,890000.0,2022-10-15,2022-10-15,1,1.0,רכב חדש יד 01 ברישוי חדש מהניילונים נמכר עקב מעבר בלתי צפוי לחול מרשים עדכני אלגנטי צעיר. &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; גגון מערכת מצלמות כל המערכות הכי חדשות רכב חדש מהחברה כולל אחריות 7 שנים וכולל טסט לשנתיים .מוזמנים לנסיעת מבחן ולהתרשם מוכרת מחיר מחירון כי כבר ירדתי מ91 אלף מדגישה למי שרציני בלבד ומבין מזה איכות .
קיה,2017,פיקנטו,1,23000,אוטומטית,1248,בנזין,,,,,ירושלים והסביבה,ירושלים,66000.0,2022-10-03,2022-10-03,1,1.0,"רכב מעולה יד ראשונה ,בעלות פרטית ,נהגת יחידה מיום הרכישה,23,000 ק""מ ,טסט עד 6/2023,"
קיה,2019,ריו,3,66000,אוטומטית,,בנזין,,,,,באר שבע והסביבה,באר שבע,70000.0,2022-09-22,2022-09-22,1,1.0,"קיה ריו סוף 2019 הדגם החזק האצב'ק GX אוט' 1.0 ( 120 כ""ס), רכב מעולה ואמין, מתחייבת בבדיקה למנוע גיר ושלדה."
קיה,2021,סטוניק,1,26000,אוטומטית,1400,בנזין,,,,,,סלמה,95000.0,2022-09-22,2022-09-22,1,1.0,רכב אמין וחסכוני רכב חדש דנדש קניתי אותו מהחברה עדיין באחריות של קיה המחירון שלו. יחד עם km נמוך דגם lx בנוסף עבר טסט עד יולי 23 רכב שמור מאוד עבר טיפול בחברה לא מזמן .
קיה,2017,סראטו,2,70000,אוטומטית,2400,בנזין,,,,,עכו - נהריה,עכו,140000.0,2022-09-20,2022-09-20,1,1.0,7 מקומות נסיעה מרווח חוויה לנסיעות ארוכות מיוחד
קיה,2021,פיקנטו,1,4000,רובוטית,1200,בנזין,,,,,ירושלים והסביבה,מעלה אדומים,84000.0,2022-09-19,2022-09-19,1,1.0,"קיה פיקנטו 2021 
דגם GT LINE
יד 1
עליה לכביש 11/21 
טסט עד 11/22
ק״מ 4,500
כל התוספות : מגנזיום +מסך+חיישני רווס+חלון גג+חלונות חשמל כל הדלתות +הנעה בלחיצה.
אחריות יצרן מנוע + גיר לעוד 6 שנים !!! 
רכב שמור מאוד 
ללא שריטה 
ממעלה אדומים

מחיר : 84,500

לרציניים בלבד 

055-8807135 אביקם. &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; קיה פיקנטו 2021 
דגם GT LINE
יד 1
עליה לכביש 11/21 
טסט עד 11/22
ק״מ 4,500
כל התוספות : מגנזיום +מסך+חיישני רווס+חלון גג+חלונות חשמל כל הדלתות +הנעה בלחיצה.
אחריות יצרן מנוע + גיר לעוד 6 שנים !!! 
רכב שמור מאוד 
ללא שריטה 
ממעלה אדומים

מחיר : 84,500

לרציניים בלבד 

055-8807135 אביקם."
קיה,2019,סטוניק,2,36000,אוטומטית,1400,בנזין,,,,,"ראשל""צ והסביבה",ראשון לציון,102000.0,2022-09-18,2022-09-18,1,1.0,"רכב פצצה חסכוני שמור מאד נהגת יחידה 
טסט 03/23
צמיגים חדשים מטופל בזמן &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מסך שמע חיישני רוורס"
קיה,2019,קריאטו,1,42000,אוטומטית,1600,בנזין,,,,,הוד השרון והסביבה,הוד השרון,135900.0,2022-09-17,2022-09-17,1,1.0,"רכב מפנק עם כל התוספות ספורטאז GT 1.6טורבו
כל הקודם זוכה 
ק""מ נמוך !! &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; ריפוד עור , חלון בגג , מדרגות צד , חיישני חניה , מגינינרוח , מולטימדיה ..ועוד...."
קיה,2019,סראטו,1,14600,אוטומטית,2000,בנזין,,,,,באר שבע והסביבה,באר שבע,135000.0,2022-09-16,2022-09-16,1,2.0,"קיה ספורטאז 2019 יד ראשונה 14600 ק""מ צבע לבן מטאלי מנוע 1999 סמ""ק ( 155 כ""ס ) בנזין 5 דלתות רכב שמור מאוד ללא תאונה קילומטראג נמוך מאוד כחדשה גג פנורמי + חבילה של תוספות מקוריות במוסך המורשה של קיה מחיר 135000 ש""ח כל הקודם זוכה!
פרטים בפלאפון 0526292003 מוטי! &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מדרגות צד, גג פנורמי, מצלמת דרך, פויינטר, ועוד מלא תוספות ישירות מהיצרן"
קיה,2022,פיקנטו,1,31000,אוטומטית,1250,בנזין,,,,,פתח תקוה והסביבה,פתח תקווה,70000.0,2022-09-13,2022-09-13,1,2.0,nan
קיה,2017,פיקנטו,2,45000,אוטומטית,1200,בנזין,,,,,,נהרייה,45000.0,2022-09-09,2022-09-09,1,2.0,רכב שלישי בבית מצב מעולה טסט לשנה. &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מולטימדיה חדשה
קיה,2018,פיקנטו,1,56000,אוטומטית,1250,בנזין,,,,,הוד השרון והסביבה,הוד השרון,68000.0,2022-09-08,2022-09-08,1,2.0,"רכב שמור היטב, יד ראשונה פרטי. טיפולים במוסך מורשה &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; דגם GT-LINE עם סאנרוף"
קיה,2020,סטוניק,1,39000,אוטומטית,998,בנזין,,,,,"ראשל""צ והסביבה",ראשון לציון,104000.0,2022-09-07,2022-09-07,1,2.0,"למכירה!
רכב מסוג קיה סטוניק,
שנה 2020
דגם פרימיום,
39,000 קמ. 
הרכב תחת אחריות של חברת קיה עד תאריך 07.2023
הרכב שמור בקנאות, במצב חדש, מעולם לא ראה מוסך.
נמכר עקב שדרוג!
נמכר במחיר מחירון, גמישה מעט!
לפרטים:
קרן - 054-4201052
טל- 052-8515454
— עם ‏‎Tal Atari‎‏."
קיה,2020,פיקנטו,1,8000,אוטומטית,1248,בנזין,,,,,רמת השרון - הרצליה,רמת השרון,74000.0,2022-09-05,2022-09-05,1,2.0,"רכב כחדש, במצב מצויין
קילומטראז נמוך
טסט עד 8/23"
קיה,2020,פיקנטו,2,,אוטומטית,1248,בנזין,,,,,טבריה והסביבה,טבריה,70000.0,2022-09-03,2022-09-03,1,2.0,כשנתיים על הכביש עם 19000 אלף קילומרים כחדשה.יד שנייה מליסינג0 קילומטר.ניתן להתפשר להוריד 10 אחוז מהמחירון העדכני &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מרים שמשות .
קיה,2019,פיקנטו,1,45800,אוטומטית,1280,בנזין,,,,,חולון - בת ים,בת ים,64000.0,2022-09-02,2022-09-02,1,2.0,"ללא תאונות, שמור מאוד"
קיה,2022,קרניבל,1,20,אוטומטית,3400,בנזין,,,,,רעננה - כפר סבא,רעננה,333500.0,2022-08-31,2022-08-31,1,2.0,nan
קיה,2019,פיקנטו,1,71700,אוטומטית,1248,בנזין,,,,,גדרה יבנה והסביבה,גדרה,75000.0,2022-08-29,2022-08-29,1,2.0,"רכב מהמם נרכש חדש מחברת kia. מטופל רק במוסך מורשה המרכזי של Kia! רכב חסכוני בדלק, דגם GT ספורט עם סנרוף וחווית נהיגה מעולה! עם טסט עד פברואר 2022 ו4 צמיגים חדשים! אחריות יבואן ל7 שנים!!! &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; סנרוף, מוביליי, מערכת מולטימדיה"
קיה,2019,פיקנטו,1,45780,אוטומטית,1280,בנזין,,,,,חולון - בת ים,בת ים,68000.0,2022-08-27,2022-08-27,1,2.0,"רכב שמור 
ללא תאונות"
קיה,2019,פיקנטו,1,45780,אוטומטית,1300,בנזין,כסוף מטאלי,,פרטית,פרטית,חולון - בת ים,בת ים,68000.0,2022-08-26,2022-08-26,4,2.0,"רכב שמור
ללא תאונות"
